,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
191,1432600560,40,3.0,8.0,1.0,10.0,,5.0,11.0,2.0
192,2287000060,0,,,,,,,,
193,3663500060,1,,,,1.0,,,,
194,3996900125,1,,,,,,,1.0,
195,7796450200,3,,,,,,1.0,2.0,
196,7549802535,45,3.0,6.0,5.0,15.0,,8.0,3.0,5.0
197,3278600320,1,1.0,,,,,,,
198,2824079053,42,2.0,14.0,1.0,11.0,,5.0,8.0,1.0
199,1222069094,107,3.0,52.0,1.0,21.0,1.0,18.0,7.0,4.0
200,3542300060,49,4.0,15.0,,9.0,,7.0,12.0,2.0
201,2222059065,22,1.0,9.0,1.0,6.0,,5.0,,
202,7551300060,0,,,,,,,,
203,100600550,11,,2.0,,,,3.0,3.0,3.0
204,3211100860,189,9.0,41.0,3.0,45.0,1.0,23.0,48.0,19.0
205,3456000310,0,,,,,,,,
206,9526600140,118,4.0,13.0,4.0,52.0,1.0,12.0,28.0,4.0
207,7465900060,9,1.0,,,3.0,,1.0,1.0,3.0
208,1222000055,34,3.0,2.0,2.0,7.0,,3.0,8.0,9.0
209,6300000550,20,1.0,1.0,6.0,2.0,2.0,3.0,5.0,
210,2310030510,108,9.0,40.0,3.0,18.0,,20.0,15.0,3.0
211,1025049114,2,,,,,,,,2.0
212,8677300550,19,2.0,1.0,1.0,8.0,,3.0,4.0,
213,4014400292,500,39.0,134.0,12.0,112.0,3.0,72.0,81.0,47.0
214,1102000196,8,2.0,,3.0,,,2.0,,1.0
215,257000138,41,5.0,14.0,2.0,8.0,,3.0,6.0,3.0
216,46100204,0,,,,,,,,
217,1909600046,841,53.0,146.0,17.0,199.0,15.0,216.0,124.0,71.0
218,1250202145,8,2.0,3.0,,,1.0,1.0,,1.0
219,7611200125,12,,,3.0,1.0,2.0,4.0,2.0,
220,5611500140,131,4.0,19.0,9.0,50.0,1.0,18.0,29.0,1.0
221,7138000260,75,4.0,39.0,3.0,9.0,,11.0,4.0,5.0
222,626059335,130,12.0,27.0,3.0,36.0,2.0,13.0,33.0,4.0
223,1922059282,27,3.0,5.0,1.0,8.0,1.0,6.0,3.0,
224,705700390,128,13.0,36.0,4.0,32.0,2.0,17.0,16.0,8.0
225,7454001200,2920,242.0,326.0,125.0,824.0,113.0,721.0,275.0,294.0
226,8682281200,159,6.0,19.0,2.0,51.0,,38.0,41.0,2.0
227,7972000200,11,,1.0,,,,4.0,4.0,2.0
228,722059070,86,6.0,16.0,2.0,11.0,1.0,16.0,22.0,12.0
229,7202340400,171,10.0,37.0,4.0,57.0,1.0,17.0,39.0,6.0
230,8096000060,3,,,,1.0,1.0,,1.0,
231,2424000060,82,4.0,22.0,,15.0,1.0,11.0,26.0,3.0
232,9264902050,1,,,,,,,1.0,
233,943100260,284,26.0,46.0,8.0,87.0,,48.0,56.0,13.0
234,3677400445,32,3.0,4.0,6.0,10.0,,3.0,1.0,5.0
235,1762600320,1,,,,,,,,1.0
236,4058000060,40,2.0,12.0,,6.0,,9.0,8.0,3.0
237,7228500560,22,4.0,4.0,2.0,4.0,2.0,4.0,,2.0
238,326069104,93,10.0,34.0,1.0,26.0,1.0,10.0,10.0,1.0
239,5152100060,18,,5.0,,1.0,1.0,1.0,6.0,4.0
240,3584000310,17,,1.0,,5.0,,6.0,3.0,2.0
241,8150100045,287,14.0,5.0,6.0,70.0,10.0,154.0,19.0,9.0
242,1868901275,3,1.0,,,,,,,2.0
243,6131600075,3,1.0,,,1.0,,,,1.0
244,9468200125,1,,1.0,,,,,,
245,8029510030,3,,2.0,,,,,,1.0
246,2025069065,4,,1.0,1.0,,,,2.0,
247,7899800890,2933,253.0,314.0,126.0,844.0,114.0,737.0,246.0,299.0
248,3021059276,27,4.0,2.0,,9.0,,5.0,6.0,1.0
249,3797001895,1,,1.0,,,,,,
250,3832710960,190,8.0,53.0,2.0,33.0,3.0,20.0,49.0,22.0
251,1310430400,295,7.0,90.0,9.0,77.0,5.0,41.0,50.0,16.0
252,1422300030,66,5.0,16.0,5.0,12.0,,7.0,21.0,
253,1105000588,6,2.0,,1.0,,,2.0,,1.0
254,3830630060,5,,,1.0,1.0,,3.0,,
255,5101404898,45,5.0,3.0,12.0,3.0,10.0,7.0,4.0,1.0
256,7972601890,1146,127.0,98.0,68.0,340.0,56.0,291.0,74.0,92.0
257,5127001620,300,14.0,79.0,4.0,63.0,2.0,38.0,74.0,26.0
258,9407100800,175,13.0,25.0,1.0,54.0,,20.0,55.0,7.0
